index,start_time,end_time,speaker,original_telugu,transliteration
668,"00:35:03,218","00:35:03,717",speaker_15,చావడానికి ముందు,chaavadaaniki mundhu
669,"00:35:03,768","00:35:05,918",speaker_15,life లో best moments అన్ని కళ్ళ ముందుకొచ్చి వెళ్తాయంటారు.,life lo best moments anni kalla mundhukochhi velthaayantaaru.
670,"00:35:08,347","00:35:10,458",speaker_15,మామ నేను చావు దగ్గరికి వెళ్ళిన ఆ పది seconds లో,mama nenu chaavu dhaggariki vellina aa padhi seconds lo
671,"00:35:11,927","00:35:13,827",speaker_15,కుందన్ ముఖమేరా నా కళ్ళ ముందుకొచ్చి పోయింది.,kundhan mukhameraa naa kalla mundhukochhi poyindhi.
672,"00:35:14,208","00:35:16,047",speaker_17,పిచ్చ నాయాలా ముందు నుంచి అదే కదరా చెప్పేది.,pichha naayaalaa mundhu nunchi adhe kadharaa cheppedhi.
673,"00:35:17,947","00:35:19,587",speaker_17,నీ life లోది best moment రా కుందన,nee life lodhi best moment raa kundhana
674,"00:35:21,248","00:35:21,597",speaker_15,వదిలేస్తే,vadhilesthe
675,"00:35:22,467","00:35:23,088",speaker_15,no moments,no moments
676,"00:35:23,547","00:35:24,177",speaker_15,only memories.,only memories.
677,"00:35:27,387","00:35:28,007",speaker_15,మామ కానీ,mama kaanee
678,"00:35:29,288","00:35:30,768",speaker_15,friend ని love చేయడం తప్పు కాదా,friend ni love cheyadam thappu kaadhaa
679,"00:35:31,168","00:35:32,377",speaker_17,మామ నువ్వు love అంటే ఏమనుకుంటున్నావ్,mama nuvvu love ante yemanukuntunnaav
680,"00:35:33,688","00:35:34,047",speaker_17,మొహమా?,mohamaa?
681,"00:35:34,887","00:35:35,237",speaker_17,shape,shape
682,"00:35:36,047","00:35:36,487",speaker_17,ఆ? size ఆ?,aa? size aa?
683,"00:35:37,958","00:35:38,807",speaker_17,పిచ్చోడా friendship,pichhodaa friendship
684,"00:35:38,867","00:35:39,657",speaker_17,ఏరా love అంటే.,yeraa love ante.
685,"00:35:42,378","00:35:43,347",speaker_17,దొక్కలోది మగవాళ్ళందరూ,dhokkalodhi magavaallandharoo
686,"00:35:43,427","00:35:44,877",speaker_17,ఆ friendship వైఫ్ దగ్గర దొరకట్లేదని,aa friendship wife dhaggara dhorakatledhani
687,"00:35:45,197","00:35:46,057",speaker_17,పిచ్చి పట్టినట్టు తిరుగుతున్నారు.,pichhi pattinattu thiruguthunnaaru.
688,"00:35:47,378","00:35:47,947",speaker_17,నువ్వేంట్రా అంటే,nuvventraa ante
689,"00:35:48,007","00:35:49,498",speaker_17,వచ్చిన angel ని left hand తో తోసేస్తున్నావ్,vachhina angel ni left hand tho thosesthunnaav
690,"00:35:50,327","00:35:51,688",speaker_15,గ్యాడ్ కి ఏం తెలుసు గంధపు పాసరా.,gyaad ki yem thelusu gandhapu paasaraa.
691,"00:36:08,268","00:36:10,268",speaker_15,మనకు మాత్రం ఎందుకు dude అన్నీ late గానే అర్థం అవుతాయి,manaku maathram yendhuku dude annee late gaane artham avuthaayi
692,"00:36:11,487","00:36:12,958",speaker_17,మనకు కాదురా పుల్క నీకు,manaku kaadhuraa pulka neeku
693,"00:36:20,657","00:36:21,217",speaker_15,ఇంతకుమించి నన్ను,inthakuminchi nannu
694,"00:36:21,268","00:36:22,057",speaker_15,నేను మోసం చేసుకోలేను,nenu mosam chesukolenu
695,"00:36:24,657","00:36:25,297",speaker_17,matter అర్థమైంది,matter arthamaindhi
696,"00:36:25,347","00:36:25,487",speaker_17,రా,raa
697,"00:36:26,068","00:36:28,367",speaker_17,life కి death కి మధ్యలో నీ journey కుందన్ తోనే,life ki death ki madhyalo nee journey kundhan thone
698,"00:36:29,507","00:36:30,027",speaker_15,Thanks guys,Thanks guys
699,"00:36:30,708","00:36:31,837",speaker_15,నా జ్ఞాన నేత్రాన్ని తెరిపించారు,naa gnaana nethraanni theripinchaaru
700,"00:36:33,327","00:36:33,867",speaker_15,thank you,thank you
701,"00:36:42,043","00:36:42,693",speaker_18,ఆ మనై,aa manai
702,"00:36:43,043","00:36:43,393",speaker_18,మనై,manai
703,"00:36:43,534","00:36:44,203",speaker_18,ఏ రీత,ye reetha
704,"00:36:45,273","00:36:46,523",speaker_18,ఆ తెలియ,aa theliya
705,"00:36:46,583","00:36:46,933",speaker_18,తెలియ,theliya
706,"00:36:47,324","00:36:47,673",speaker_18,వైపు,vaipu
707,"00:36:48,563","00:36:48,844",speaker_18,నా,naa
708,"00:36:50,923","00:36:51,023",speaker_18,నా,naa
709,"00:36:56,463","00:36:57,054",speaker_0,ఎస్ సర్,yes sir
710,"00:36:59,943","00:37:00,684",speaker_0,నేను తర్వాత పేస్తా.,nenu tharvaatha pesthaa.
711,"00:37:01,603","00:37:02,893",speaker_18,హలో నా కూతుర్ని వద్దనుకున్నోడికి,hello naa koothurni vadhdhanukunnodiki
712,"00:37:03,373","00:37:04,693",speaker_18,ఇంట్లో స్థానం లేదు. వెళ్లిపోవచ్చు.,intlo sthaanam ledhu. vellipovachhu.
713,"00:37:09,724","00:37:11,713",speaker_0,హా మావయ్య కూతుర్ని పెళ్లి చేసుకుందాం అని వచ్చిన వాడికి కూడా ఈ,haa maavayya koothurni pelli chesukundhaam ani vachhina vaadiki koodaa ee
714,"00:37:11,764","00:37:13,543",speaker_0,ఇంట్లో స్థానం లేదనుకుంటా. It's ok bye.,intlo sthaanam ledhanukuntaa. It's ok bye.
715,"00:37:15,804","00:37:16,614",speaker_18,అల్లుడు అల్లుడు,alludu alludu
716,"00:37:16,844","00:37:17,184",speaker_18,ఏయ్ చెక్,yey check
717,"00:37:17,903","00:37:19,204",speaker_18,అల్లుడు అల్లుడు అల్లుడు అల్లుడు,alludu alludu alludu alludu
718,"00:37:19,643","00:37:20,103",speaker_18,రా అల్లుడు,raa alludu
719,"00:37:20,934","00:37:21,713","speaker_18, speaker_0",ఉండమంటుంటే మావయ్యా,undamantunte maavayyaa
720,"00:37:21,764","00:37:23,023",speaker_0,నేను కుందన్ ని love చేస్తున్నాను మావయ్యా.,nenu kundhan ni love chesthunnaanu maavayyaa.
721,"00:37:23,684","00:37:24,773",speaker_0,తను లేకుండా నేను బతకలేను.,thanu lekundaa nenu bathakalenu.
722,"00:37:25,744","00:37:28,514",speaker_18,ఈ ఒక్క మాట కోసమే అల్లుడు అక్కడ నా కూతురు wait చేస్తుంది.,ee okka maata kosame alludu akkada naa koothuru wait chesthundhi.
723,"00:37:28,903","00:37:29,534",speaker_18,రియోట్ రియోట్,riyot riyot
724,"00:37:29,764","00:37:30,684",speaker_18,రియోట్ రియోట్ ఆహా,riyot riyot aahaa
725,"00:37:34,164","00:37:35,353",speaker_18,నీ చేత్తో నువ్వే phone చేసి,nee cheththo nuvve phone chesi
726,"00:37:35,503","00:37:36,184",speaker_18,తనకి చెప్పెయ్ అల్లుడు.,thanaki cheppey alludu.
727,"00:37:36,724","00:37:37,244",speaker_18,చెప్పెయ్ చెప్పెయ్.,cheppey cheppey.
728,"00:37:37,844","00:37:39,204",speaker_0,మావయ్యా మీరు మాట్లాడితేనే మంచిది.,maavayyaa meeru maatlaadithene manchidhi.
729,"00:37:40,724","00:37:41,844",speaker_0,నేను తనని బాగా hurt చేశాను.,nenu thanani baagaa hurt cheshaanu.
730,"00:37:42,673","00:37:43,304",speaker_0,భరించలేనంత guilty,bharinchalenantha guilty
731,"00:37:43,364","00:37:43,643",speaker_0,గా ఉంది.,gaa undhi.
732,"00:37:44,123","00:37:45,824",speaker_0,ముందు తన కళ్ళలోకి చూసి sorry చెప్పాలి.,mundhu thana kallaloki choosi sorry cheppaali.
733,"00:37:46,304","00:37:46,913",speaker_0,అప్పుడే నేను,appude nenu
734,"00:37:47,264","00:37:47,614",speaker_0,తనతో,thanatho
735,"00:37:47,943","00:37:48,793",speaker_0,normal గా మాట్లాడగలను.,normal gaa maatlaadagalanu.
736,"00:37:50,943","00:37:51,773",speaker_0,మీరు తనతో మాట్లాడి,meeru thanatho maatlaadi
737,"00:37:52,884","00:37:54,173",speaker_0,ok అంటే పెళ్లి fix చేయండి.,ok ante pelli fix cheyandi.
738,"00:37:54,864","00:37:55,614",speaker_0,నేను తనతో మాట్లాడుకుంటా.,nenu thanatho maatlaadukuntaa.
739,"00:37:56,903","00:37:57,884",speaker_18,మా అందరికీ ok గాని,maa andharikee ok gaani
740,"00:37:58,563","00:37:59,253",speaker_18,మీ అమ్మ ఒప్పుకుంటుందా?,mee amma oppukuntundhaa?
741,"00:38:11,744","00:38:12,043",speaker_0,మా,maa
742,"00:38:12,983","00:38:13,864",speaker_0,ఇది నేనే కొన్నది.,idhi nene konnadhi.
743,"00:38:14,834","00:38:15,763","speaker_0, speaker_18",తినమ్మా. నాకేంటి,thinammaa. naakenti
744,"00:38:15,813","00:38:16,773",speaker_18,ఇప్పుడు గోతి కాడి తిరుగుతుంది?,ippudu gothi kaadi thiruguthundhi?
745,"00:38:20,914","00:38:24,864",speaker_18,ఆ ఏంటి?,aa yenti?
746,"00:38:26,503","00:38:27,953",speaker_0,అమ్మ నేను కుందన్ ని love చేస్తున్నా.,amma nenu kundhan ni love chesthunnaa.
747,"00:38:29,614","00:38:30,173",speaker_0,తనతోనే నా,thanathone naa
748,"00:38:30,224","00:38:30,864",speaker_0,పెళ్లి చెయ్యమ్మా.,pelli cheyyammaa.
749,"00:38:33,003","00:38:33,353",speaker_18,కుందనా?,kundhanaa?
750,"00:38:35,143","00:38:35,483",speaker_0,మా,maa
751,"00:38:36,384","00:38:37,563",speaker_0,మీ అన్నా చెల్లెళ్ళ problem ఆ,mee annaa chellella problem aa
752,"00:38:38,164","00:38:38,844",speaker_0,లేక నా life ఆ?,leka naa life aa?
753,"00:38:39,583","00:38:40,514",speaker_0,అమ్మా please,ammaa please
754,"00:38:41,184","00:38:41,813",speaker_0,please please మాతృమూర్తి,please please maathrumoorthi
755,"00:38:42,443","00:38:43,054",speaker_0,please please,please please
756,"00:38:43,273","00:38:43,913",speaker_0,please please please please అమ్మా,please please please please ammaa
757,"00:38:46,054","00:38:46,153",speaker_0,please,please
758,"00:38:48,684","00:38:49,664",speaker_18,కుందన మంచి అమ్మాయి.,kundhana manchi ammaayi.
759,"00:38:51,923","00:38:53,003",speaker_18,నాకు నీ life ఏ ముఖ్యం.,naaku nee life ye mukhyam.
760,"00:38:54,972","00:38:55,713",speaker_0,నా ముచ్చి,naa muchhi
761,"00:38:56,023","00:38:56,373",speaker_0,కుందర్,kundhar
762,"00:38:56,532","00:38:56,882",speaker_0,పుట్టింది,puttindhi
763,"00:38:57,684","00:38:58,043",speaker_0,అమ్మ.,amma.
764,"00:38:59,043","00:39:00,353",speaker_18,ఇంతకీ పెళ్లి గోత్రం ఎప్పుడొస్తుంది?,inthakee pelli gothram yeppudosthundhi?
765,"00:39:00,903","00:39:01,804",speaker_18,semester exam అయిపోయాక,semester exam ayipoyaaka
766,"00:39:02,284","00:39:03,114",speaker_18,పెళ్లికి ముందర వస్తుందలే.,pelliki mundhara vasthundhale.
767,"00:39:25,134","00:39:25,614",speaker_0,అమ్ముదా అమ్ముదా,ammudhaa ammudhaa
768,"00:39:25,764","00:39:26,634",speaker_0,అమ్ముదా అమ్ముదా ట-ట-tension,ammudhaa ammudhaa ta-ta-tension
769,"00:39:26,884","00:39:28,384",speaker_0,అవ్వకు. నేను గొడవ చేయడానికి రాలా.,avvaku. nenu godava cheyadaaniki raalaa.
770,"00:39:29,463","00:39:29,953",speaker_0,నా పెళ్లి,naa pelli
771,"00:39:30,184","00:39:30,993",speaker_0,పత్రిక ఇవ్వడానికి వచ్చా.,pathrika ivvadaaniki vachhaa.
772,"00:39:31,043","00:39:31,393",speaker_18,అంత,antha
773,"00:39:35,623","00:39:36,733",speaker_18,మంది ముందు నన్ను అవమానించి,mandhi mundhu nannu avamaaninchi
774,"00:39:37,244","00:39:38,213",speaker_18,ఇప్పుడు నీ పెళ్ళికి పిలుస్తున్నావా?,ippudu nee pelliki pilusthunnaavaa?
775,"00:39:38,923","00:39:39,634",speaker_18,నువ్వసలు మనిషివేనా?,nuvvasalu manishivenaa?
776,"00:39:40,903","00:39:42,514",speaker_18,ఒక అమ్మాయికి తాళి ఎంత ముఖ్యమైందో,oka ammaayiki thaali yentha mukhyamaindho
777,"00:39:42,664","00:39:42,793",speaker_18,నీకు తెలవా?,neeku thelavaa?
778,"00:39:42,844","00:39:43,193",speaker_0,ఏయ్ అమ్ముదా,yey ammudhaa
779,"00:39:43,704","00:39:45,543",speaker_0,ఇదిగో తాలిని బెడ్ మీద వదిలేసి వచ్చావే. వేసుకో.,idhigo thaalini bed meedha vadhilesi vachhaave. vesuko.
780,"00:39:46,264","00:39:46,364",speaker_0,ఆ,aa
781,"00:39:46,824","00:39:47,493",speaker_0,బెడ్ మీద,bed meedha
782,"00:39:48,684","00:39:49,403",speaker_0,అది మాత్రం కామా.,adhi maathram comma.
783,"00:39:52,684","00:39:53,423",speaker_0,బెడ్ మీద అమ్ముదా?,bed meedha ammudhaa?
784,"00:39:53,943","00:39:54,293",speaker_18,హ్మ్,hma్
785,"00:40:05,083","00:40:05,433",speaker_0,Brother,Brother
786,"00:40:09,704","00:40:10,353",speaker_0,లోపలికి రా.,lopaliki raa.
787,"00:40:15,844","00:40:16,164",speaker_0,Brother,Brother
788,"00:40:16,963","00:40:19,054",speaker_0,నేను కూడా నా ex పెళ్ళికి వెళ్లి తాళి తెంచేద్దామని,nenu koodaa naa ex pelliki velli thaali thenchedhdhaamani
789,"00:40:19,824","00:40:20,813",speaker_0,psycho goolla లాగా ఆలోచించా.,psycho goolla laagaa aalochinchaa.
790,"00:40:21,764","00:40:22,333",speaker_0,కానీ తెంచలేదు.,kaanee thenchaledhu.
791,"00:40:23,123","00:40:23,384",speaker_18,ఏం?,yem?
792,"00:40:24,184","00:40:24,773",speaker_0,ఏ అంటే,ye ante
793,"00:40:25,204","00:40:26,184",speaker_0,నేను నీలా psycho ని కాదు.,nenu neelaa psycho ni kaadhu.
794,"00:40:28,264","00:40:28,824",speaker_18,Sorry brother,Sorry brother
795,"00:40:30,143","00:40:30,664",speaker_0,just kidding.,just kidding.
796,"00:40:32,284","00:40:33,224",speaker_0,ఇదేంటి అవతారం ఎత్తేసింది.,idhenti avathaaram yeththesindhi.
797,"00:40:34,304","00:40:34,903",speaker_18,Sorry అమ్ముదా,Sorry ammudhaa
798,"00:40:36,123","00:40:36,503",speaker_18,sorry,sorry
799,"00:40:37,903","00:40:38,693",speaker_18,sorry sorry,sorry sorry
800,"00:40:38,963","00:40:39,063",speaker_18,sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry,sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry
801,"00:40:39,054","00:40:39,373",speaker_18,sorry sorry sorry sorry sorry sorry,sorry sorry sorry sorry sorry sorry
802,"00:40:42,124","00:40:42,833",speaker_18,sorry sorry,sorry sorry
803,"00:40:45,144","00:40:45,643",speaker_18,sorry నేను,sorry nenu
804,"00:40:45,693","00:40:46,043",speaker_18,friendly,friendly
805,"00:40:46,643","00:40:47,804",speaker_18,కానీ మరీ అంత friendly కాదు.,kaanee maree antha friendly kaadhu.
806,"00:40:49,364","00:40:50,594",speaker_18,పెళ్ళికి వచ్చేయండి sister ని కూడా తీసుకొచ్చేయండి.,pelliki vachheyandi sister ni koodaa theesukochheyandi.
807,"00:40:51,943","00:40:52,293",speaker_0,Sister.,Sister.
808,"00:40:52,903","00:40:53,253",speaker_18,రేయ్,rey
809,"00:40:53,523","00:40:53,893",speaker_18,sorry రా.,sorry raa.
810,"00:40:54,403","00:40:55,393",speaker_18,పెళ్ళికి రావడం కుదరదు.,pelliki raavadam kudharadhu.
811,"00:40:55,983","00:40:58,813",speaker_18,రేపు night ఏ Canada వెళ్తున్నాం. ఇంక అక్కడే job confirm అయింది.,repu night ye Canada velthunnaam. inka akkade job confirm ayindhi.
812,"00:40:59,304","00:40:59,723",speaker_0,highest package,highest package
813,"00:40:59,773","00:41:00,592",speaker_18,ఇంక అక్కడే settle అవుతాం.,inka akkade settle avuthaam.
814,"00:41:01,423","00:41:02,494",speaker_0,సారీ ఓకే పిల్లలు పుట్టాక రండి.,sorry okay pillalu puttaaka randi.
815,"00:41:03,282","00:41:03,382",speaker_18,ఏయ్,yey
816,"00:41:03,393","00:41:03,913",speaker_0,ఎవరి పిల్లలు?,yevari pillalu?
817,"00:41:07,264","00:41:07,364",speaker_18,ఏంరా,yemraa
818,"00:41:07,273","00:41:08,233",speaker_0,Please don't mistake.,Please don't mistake.
819,"00:41:09,733","00:41:10,513",speaker_0,ఇప్పటికైనా నన్నెందుకు,ippatikainaa nannendhuku
820,"00:41:10,563","00:41:12,193",speaker_0,వదిలేసావో కొంచెం reason మాత్రం చెప్తావా?,vadhilesaavo konchem reason maathram chepthaavaa?
821,"00:41:12,664","00:41:14,164",speaker_0,back mind లో run అవుతూనే ఉంది.,back mind lo run avuthoone undhi.
822,"00:41:14,224","00:41:14,733",speaker_18,అది తెలుసుకోకపోవడమే,adhi thelusukokapovadame
823,"00:41:15,264","00:41:16,094",speaker_18,నీకు మంచిది brother.,neeku manchidhi brother.
824,"00:41:20,403","00:41:20,523",speaker_0,మా,maa
825,"00:41:20,574","00:41:20,923",speaker_18,ఆ,aa
826,"00:41:21,963","00:41:22,933",speaker_0,మంచి time మించిపోతున్నది,manchi time minchipothunnadhi
827,"00:41:23,143","00:41:23,923",speaker_0,ఇంకా వీళ్ళని ఎక్కించకుండా,inkaa veellani yekkinchakundaa
828,"00:41:24,143","00:41:24,784",speaker_0,ఏం చేస్తున్నావ్?,yem chesthunnaav?
829,"00:41:25,164","00:41:27,413",speaker_18,వాళ్ళని ఈ పక్క నుంచి ఎక్కిస్తుంటే ఆ పక్క నుంచి దిగిపోతున్నారు,vaallani ee pakka nunchi yekkisthunte aa pakka nunchi dhigipothunnaaru
830,"00:41:27,673","00:41:27,903",speaker_18,రా.,raa.
831,"00:41:28,023","00:41:29,173",speaker_0,late మాత్రం అయిందో,late maathram ayindho
832,"00:41:30,083","00:41:30,693",speaker_0,నేను మనిషికానే,nenu manishikaane
833,"00:41:31,143","00:41:31,493",speaker_0,ఉండను.,undanu.
834,"00:41:32,543","00:41:33,224",speaker_18,రేయ్ అవతారం,rey avathaaram
835,"00:41:33,784","00:41:35,054",speaker_18,కుందన Bangalore నుంచి వచ్చేసిందంట.,kundhana Bangalore nunchi vachhesindhanta.
836,"00:41:35,344","00:41:36,443",speaker_18,ముందు వెళ్లి తన సంగతి చూడు.,mundhu velli thana sangathi choodu.
837,"00:41:37,423","00:41:37,864",speaker_0,ఏంటి,yenti
838,"00:41:38,764","00:41:39,634",speaker_0,కుందన వచ్చేసిందా?,kundhana vachhesindhaa?
839,"00:41:41,914","00:41:43,523",speaker_0,సింగారి సిన్నదానా,singaari sinnadhaanaa
840,"00:41:43,623","00:41:44,713",speaker_0,నీ ఇంటి దారిల్లోనా,nee inti dhaarillonaa
841,"00:41:45,643","00:41:45,993",speaker_0,పోసోడై,posodai
842,"00:41:46,384","00:41:46,733",speaker_0,పాడుకున్నా,paadukunnaa
843,"00:41:47,684","00:41:48,534",speaker_0,రింగా రింగా.,ringaa ringaa.
844,"00:41:49,934","00:41:51,563",speaker_0,విర్రానా చేరుకున్నా,virraanaa cherukunnaa
845,"00:41:51,684","00:41:52,693",speaker_0,నీ ముందు నిల్చుకున్నా,nee mundhu nilchukunnaa
846,"00:41:53,664","00:41:54,014",speaker_0,చెయ్యేసి,cheyyesi
847,"00:41:54,384","00:41:54,733",speaker_0,ఎత్తుకున్నా,yeththukunnaa
848,"00:41:55,403","00:41:55,753",speaker_0,బంగారంగా.,bangaarangaa.
849,"00:41:57,664","00:41:58,733",speaker_0,అత్తర్ లో పూసుకున్నా,aththar lo poosukunnaa
850,"00:41:59,643","00:42:00,713",speaker_0,powder లో రాసుకున్నా,powder lo raasukunnaa
851,"00:42:01,704","00:42:02,054",speaker_0,ఉరేగి,uregi
852,"00:42:02,344","00:42:02,693",speaker_0,వస్తా,vasthaa
853,"00:42:02,864","00:42:03,713",speaker_0,ఉన్నా నీకోసమే,unnaa neekosame
854,"00:42:04,864","00:42:05,213",speaker_0,గల్లా.,gallaa.
855,"00:42:05,373","00:42:05,793",speaker_0,నువ్వల్లా రాసుకునే,nuvvallaa raasukune
856,"00:42:06,384","00:42:06,733",speaker_0,"చందనమై,","chandhanamai,"
857,"00:42:07,423","00:42:07,773",speaker_0,దిద్దుకునే,dhidhdhukune
858,"00:42:08,364","00:42:08,713",speaker_0,"కుంకుమై,","kunkumai,"
859,"00:42:09,443","00:42:09,793",speaker_0,ఉంటానే,untaane
860,"00:42:10,403","00:42:10,753",speaker_0,నీతోనే,neethone
861,"00:42:11,344","00:42:11,693",speaker_0,ఇష్టంగా,ishtangaa
862,"00:42:12,364","00:42:12,713",speaker_0,ఉంచుకోవే.,unchukove.
863,"00:42:13,423","00:42:14,213",speaker_0,తోరు మొదలు,thoru modhalu
864,"00:42:14,403","00:42:14,753",speaker_0,"పెట్టుకుంటా,","pettukuntaa,"
865,"00:42:15,403","00:42:16,233",speaker_0,తేనే మొదలు,thene modhalu
866,"00:42:16,403","00:42:16,753",speaker_0,"పుచ్చుకుంటా,","puchhukuntaa,"
867,"00:42:17,994","00:42:18,864",speaker_0,రాత్రి పగలు,raathri pagalu
868,"00:42:19,063","00:42:20,273",speaker_0,నా రాణి నువ్వేలే.,naa raani nuvvele.
869,"00:42:28,233","00:42:29,563",speaker_0,సింగారి సిన్నదానా,singaari sinnadhaanaa
870,"00:42:29,943","00:42:30,993",speaker_0,నీ ఇంటి దారిల్లోనా,nee inti dhaarillonaa
871,"00:42:31,923","00:42:32,273",speaker_0,పోసోడై,posodai
872,"00:42:32,643","00:42:32,993",speaker_0,పాడుకున్నా,paadukunnaa
873,"00:42:33,664","00:42:34,014",speaker_0,రింగా,ringaa
874,"00:42:34,344","00:42:34,693",speaker_0,రింగా.,ringaa.
875,"00:42:36,253","00:42:37,784",speaker_0,విర్రానా చేరుకున్నా,virraanaa cherukunnaa
876,"00:42:37,963","00:42:38,953",speaker_0,నీ ముందు నిల్చుకున్నా,nee mundhu nilchukunnaa
877,"00:42:39,983","00:42:40,333",speaker_0,చెయ్యేసి,cheyyesi
878,"00:42:40,704","00:42:41,054",speaker_0,ఎత్తుకున్నా,yeththukunnaa
879,"00:42:41,704","00:42:42,054",speaker_0,బంగారంగా,bangaarangaa
880,"00:42:59,253","00:43:00,313",speaker_0,ఏయ్ పెళ్లి ముడు వేయరా!,yey pelli mudu veyaraa!
881,"00:43:26,153","00:43:27,284",speaker_14,నాకి పెళ్లి ఇష్టం లేదు గగన్.,naaki pelli ishtam ledhu gagan.
882,"00:43:30,114","00:43:30,463",speaker_0,Prank.,Prank.
883,"00:43:45,614","00:43:46,034",speaker_0,ఏమైంది?,yemaindhi?
884,"00:43:47,094","00:43:47,443",speaker_14,Confusion.,Confusion.
885,"00:43:50,233","00:43:50,793",speaker_0,ఎవరా అబ్బాయి?,yevaraa abbaayi?
886,"00:43:56,273","00:43:56,594",speaker_14,పార్థు.,paarthu.
887,"00:43:57,353","00:43:58,114",speaker_14,నా college mate.,naa college mate.
888,"00:44:00,134","00:44:00,643",speaker_14,నువ్వు లేకపోయేసరికి,nuvvu lekapoyesariki
889,"00:44:01,134","00:44:01,923",speaker_14,నా life నరకమైంది,naa life narakamaindhi
890,"00:44:02,134","00:44:02,373",speaker_14,గగన్.,gagan.
891,"00:44:03,293","00:44:04,163",speaker_14,"ఎవరితో మాట్లాడలేకపోయాను,","yevaritho maatlaadalekapoyaanu,"
892,"00:44:04,853","00:44:05,203",speaker_14,"కలవలేకపోయాను,","kalavalekapoyaanu,"
893,"00:44:05,833","00:44:06,183",speaker_14,"నవ్వలేకపోయాను,","navvalekapoyaanu,"
894,"00:44:07,074","00:44:07,903",speaker_14,ఊపిరి కూడా తీసుకోలేకపోయాను.,oopiri koodaa theesukolekapoyaanu.
895,"00:44:10,324","00:44:11,773",speaker_14,అప్పుడే వాడు నా life లోకి వచ్చాడు.,appude vaadu naa life loki vachhaadu.
896,"00:44:13,213","00:44:14,784",speaker_14,మేము friends లా తిరగడం మొదలు పెట్టాం.,memu friends laa thiragadam modhalu pettaam.
897,"00:44:15,454","00:44:17,514",speaker_14,మా ఇద్దరి మధ్య మంచి bond create అయింది.,maa idhdhari madhya manchi bond create ayindhi.
898,"00:44:17,733","00:44:18,333",speaker_0,Very bond ఆ?,Very bond aa?
899,"00:44:20,893","00:44:21,134",speaker_0,Fun.,Fun.
900,"00:44:21,974","00:44:22,614",speaker_0,మిగతాది చెప్పు.,migathaadhi cheppu.
901,"00:44:24,114","00:44:24,923",speaker_14,Sudden గా వాడొకరోజు,Sudden gaa vaadokaroju
902,"00:44:25,134","00:44:25,853",speaker_14,propose చేశాడు.,propose cheshaadu.
903,"00:44:26,414","00:44:27,103",speaker_0,నువ్వేం చెప్పావ్?,nuvvem cheppaav?
904,"00:44:29,914","00:44:30,503",speaker_14,Yes చెప్పాలనిపించింది.,Yes cheppaalanipinchindhi.
905,"00:44:33,134","00:44:33,753",speaker_14,కానీ చెప్పలే.,kaanee cheppale.
906,"00:44:34,253","00:44:34,574",speaker_0,Why?,Why?
907,"00:44:38,264","00:44:38,673",speaker_14,నువ్వు,nuvvu
908,"00:44:39,713","00:44:40,773",speaker_14,నన్ను judge చేయవు కదా.,nannu judge cheyavu kadhaa.
909,"00:44:41,114","00:44:42,203",speaker_0,అది నేను చెప్పేదాని బట్టి ఉంటది.,adhi nenu cheppedhaani batti untadhi.
910,"00:44:46,764","00:44:47,114",speaker_14,అప్పుడే,appude
911,"00:44:47,954","00:44:49,364",speaker_14,నాన్న మన పెళ్లి గురించి చెప్పారు.,naanna mana pelli gurinchi cheppaaru.
912,"00:44:49,893","00:44:51,344",speaker_14,వెంటనే నాలో ఎన్నో confusions.,ventane naalo yenno confusions.
913,"00:44:52,844","00:44:53,443",speaker_14,నిజంగానే నాకు,nijangaane naaku
914,"00:44:53,494","00:44:54,203",speaker_14,పార్థు నచ్చాడా?,paarthu nachhaadaa?
915,"00:44:55,963","00:44:56,724",speaker_14,లేక నువ్వు,leka nuvvu
916,"00:44:56,813","00:44:58,514",speaker_14,లేవని వాడిని second option గా చూశానా?,levani vaadini second option gaa chooshaanaa?
917,"00:44:59,094","00:45:00,243",speaker_14,ఏం అర్థం కాలేదు.,yem artham kaaledhu.
918,"00:45:00,833","00:45:01,183",speaker_14,ఆలోచించి,aalochinchi
919,"00:45:01,514","00:45:01,864",speaker_14,ఆలోచించి,aalochinchi
920,"00:45:02,273","00:45:02,623",speaker_14,పిచ్చెక్కిపోయింది.,pichhekkipoyindhi.
921,"00:45:05,373","00:45:06,193",speaker_14,ఒక time లో,oka time lo
922,"00:45:06,914","00:45:09,193",speaker_14,తెలియని దేవుడి కంటే తెలిసిన దయ్యమే మేలని,theliyani dhevudi kante thelisina dhayyame melani
923,"00:45:11,324","00:45:11,793",speaker_14,నాన్నతో మన,naannatho mana
924,"00:45:11,934","00:45:12,923",speaker_14,పెళ్లికి ఓకే చెప్పాను.,pelliki okay cheppaanu.
925,"00:45:13,213","00:45:13,833",speaker_0,ఇందులో judge చేయడానికి,indhulo judge cheyadaaniki
926,"00:45:13,983","00:45:14,333",speaker_0,ఏముంది?,yemundhi?
927,"00:45:15,333","00:45:17,283",speaker_0,అందరూ పెళ్లి చేసుకున్న తర్వాత తప్పుదోన్ని choose చేసుకున్నామని,andharoo pelli chesukunna tharvaatha thappudhonni choose chesukunnaamani
928,"00:45:17,333","00:45:17,864",speaker_0,feel అవుతారు.,feel avuthaaru.
