index,start_time,end_time,original_telugu,transliteration
629,"00:28:14,630","00:28:15,879",ను ముందేలా fix చేయను కోమల్,nu mundhelaa fix cheyanu komal
630,"00:28:16,130","00:28:19,789",title ఏ blockbuster sir దానిది ఓ అది title ఆ yes sir నీ బాధ భరించలేక,title ye blockbuster sir dhaanidhi o adhi title aa yes sir nee baadha bharinchaleka
631,"00:28:19,910","00:28:20,259",చదివానులే,chadhivaanule
632,"00:28:20,509","00:28:22,059",sir అయినా అందులో ఒక దేవుడు లేడుగా,sir ayinaa andhulo oka dhevudu ledugaa
633,"00:28:22,369","00:28:23,359",sir మనం తీసేది,sir manam theesedhi
634,"00:28:24,049","00:28:26,079",action సినిమాగా sir ఈ రోజుల్లో trend అయ్యా,action sinimaagaa sir ee rojullo trend ayyaa
635,"00:28:26,289","00:28:26,639",త్రేతాయుగంలో,threthaayugamlo
636,"00:28:26,990","00:28:29,240",నుంచి ఒక దేవుణ్ణి ద్వాపర యుగంలో నుంచి ఒక దేవుణ్ణి,nunchi oka dhevunni dhvaapara yugamlo nunchi oka dhevunni
637,"00:28:29,430","00:28:30,399",అలా దేవుళ్ళని తీసుకురా,alaa dhevullani theesukuraa
638,"00:28:30,950","00:28:33,869",ఎవరికీ అర్థం కాని కొన్ని సంస్కృత పద్యాలు పెట్టు different ఆయుధాలు,yevarikee artham kaani konni samskrutha padhyaalu pettu different aayudhaalu
639,"00:28:33,930","00:28:36,000",పెట్టు ఆయుధాలకి కొత్త కొత్త పేర్లు పెట్టు,pettu aayudhaalaki koththa koththa perlu pettu
640,"00:28:36,190","00:28:36,539",శ్లోకాలు,shlokaalu
641,"00:28:36,970","00:28:39,079",ఎప్పుడో వెయ్యేళ్ళ క్రితం జరుగుతున్న కథని చెప్పు,yeppudo veyyella kritham jaruguthunna kathani cheppu
642,"00:28:39,349","00:28:39,699",BC,BC
643,"00:28:39,910","00:28:40,609",AD ఇలాంటివన్నీ,AD ilaantivannee
644,"00:28:40,849","00:28:41,399",add చేయాలి,add cheyaali
645,"00:28:41,630","00:28:41,980",trend,trend
646,"00:28:42,099","00:28:43,079",trend ని follow చేయి,trend ni follow cheyi
647,"00:28:43,628","00:28:45,170",done sir ఉమ్ రాసుకొస్తా sir,done sir um raasukosthaa sir
648,"00:28:45,829","00:28:48,289",రాయ్ రాయ్ బాగా రాయ్ all the best రాయినప్పుడు మిమ్మల్నే కలుస్తా,raay raay baagaa raay all the best raayinappudu mimmalne kalusthaa
649,"00:28:48,349","00:28:48,730",sir ఉమ్,sir um
650,"00:28:49,750","00:28:53,039",young stars కదా encourage చేయాలి మనం తీస్తామా తీయమా అనేది తర్వాత,young stars kadhaa encourage cheyaali manam theesthaamaa theeyamaa anedhi tharvaatha
651,"00:28:53,130","00:28:53,450",సంగతి,sangathi
652,"00:28:54,780","00:28:55,609",తింటావా తినవా,thintaavaa thinavaa
653,"00:28:57,410","00:28:57,789",తినవా,thinavaa
654,"00:28:58,210","00:28:59,959",తినవా భూతోడిని పిలుస్తా మరి,thinavaa bhoothodini pilusthaa mari
655,"00:29:00,190","00:29:00,539",కోమల్,komal
656,"00:29:04,069","00:29:04,589",ఆ ఆ,aa aa
657,"00:29:05,170","00:29:06,639",తాత ఎలా అయ్యాడో చూసావుగా,thaatha yelaa ayyaado choosaavugaa
658,"00:29:09,470","00:29:10,309",వికె విపిన్ చాలన్న,vike vipin chaalanna
659,"00:29:10,829","00:29:11,250",చాలన్న,chaalanna
660,"00:29:11,750","00:29:12,539",అన్న అన్న వద్దన్న,anna anna vadhdhanna
661,"00:29:13,519","00:29:13,950",అన్న అన్న అన్న,anna anna anna
662,"00:29:16,009","00:29:16,679",చిన్న పిల్లోడికి,chinna pillodiki
663,"00:29:17,470","00:29:18,019",నన్ను చూపిస్తేనే,nannu choopisthene
664,"00:29:18,349","00:29:20,990",అన్నం తింటలేడు అంటే ఏందిరా అర్థం చూపిస్తేనే తింటాడని అర్థం అన్న,annam thintaledu ante yendhiraa artham choopisthene thintaadani artham anna
665,"00:29:21,789","00:29:22,089",yes,yes
666,"00:29:22,849","00:29:23,379",నేను భూతోడినే,nenu bhoothodine
667,"00:29:24,349","00:29:25,019",నేను భూతోడినే,nenu bhoothodine
668,"00:29:25,410","00:29:25,710",పవన్,pavan
669,"00:29:26,549","00:29:28,240",వాళ్ళ family కి నేనే భూతోడినే,vaalla family ki nene bhoothodine
670,"00:29:29,569","00:29:30,789",ఆ ఏమైంది కోమల్,aa yemaindhi komal
671,"00:29:31,269","00:29:31,619",వచ్చినావా,vachhinaavaa
672,"00:29:33,109","00:29:33,309",ఆ,aa
673,"00:29:34,410","00:29:36,089",ఎన్ని అవమానాలు భరించినా తెలుసా నేను,yenni avamaanaalu bharinchinaa thelusaa nenu
674,"00:29:37,040","00:29:37,549",ఆ నేను,aa nenu
675,"00:29:37,599","00:29:38,869",ఒక్కడినే వెంచినా అండి budget,okkadine venchinaa andi budget
676,"00:29:40,289","00:29:43,349",వర్షం పడుతుంది set వేయకుండా రా బాబు అంటే set వేసిర్రు,varsham paduthundhi set veyakundaa raa baabu ante set vesirru
677,"00:29:44,030","00:29:46,029",మటాష్ పోయింది,mataash poyindhi
678,"00:29:46,990","00:29:47,109",ఆ,aa
679,"00:29:48,190","00:29:50,279",నేను normal చిన్న fighter ని ఒకడిని పెట్టుకుందామంటే,nenu normal chinna fighter ni okadini pettukundhaamante
680,"00:29:50,710","00:29:51,579",వాని hand మంచిదని,vaani hand manchidhani
681,"00:29:51,730","00:29:54,400",ఎవన్నో foreign fight master ని పిలిపిస్తే వాడు నా hero చెయ్యిరా,yevanno foreign fight master ni pilipisthe vaadu naa hero cheyyiraa
682,"00:29:54,450","00:29:56,750",కొడితే నాలుగు నెలలు hospital లో పెట్టిచ్చాడు shooting అయిపోయింది,kodithe naalugu nelalu hospital lo pettichhaadu shooting ayipoyindhi
683,"00:29:58,130","00:30:01,019",heroine అదేదో OTT చేసుకుంటా అంటే you can go అన్నారు అది date లు,heroine adhedho OTT chesukuntaa ante you can go annaaru adhi date lu
684,"00:30:01,069","00:30:01,959",ఇయ్యలేదు తర్వాత బదులమైంది,iyyaledhu tharvaatha badhulamaindhi
685,"00:30:02,130","00:30:02,529",నేనే,nene
686,"00:30:03,420","00:30:04,369",assistants రేయ్,assistants rey
687,"00:30:04,890","00:30:05,220",రేయ్,rey
688,"00:30:06,589","00:30:08,750",రేయ్ ఇంటికి ఎవడన్నా తీసుకెళ్ళండి రేయ్ రేయ్,rey intiki yevadannaa theesukellandi rey rey
689,"00:30:09,349","00:30:09,650",కోమల్,komal
690,"00:30:12,019","00:30:12,720",rent కట్టడు,rent kattadu
691,"00:30:12,769","00:30:13,519",అది పోనీదా కట్టడు,adhi poneedhaa kattadu
692,"00:30:13,710","00:30:14,059",ఏసేయండి,yeseyandi
693,"00:30:14,269","00:30:16,019",అన్నీ చేరేయండి బయటికి ఏందో లొల్లి,annee chereyandi bayatiki yendho lolli
694,"00:30:17,549","00:30:18,419",ఎవడో rent కట్టనట్టుండు,yevado rent kattanattundu
695,"00:30:18,930","00:30:19,919",stupid fellow ఏసేయండి,stupid fellow yeseyandi
696,"00:30:20,069","00:30:22,309",that is house అన్నీ తీసేయండి బయటికి అన్నీ పడేయ్ రి మొత్తం అన్నీ,that is house annee theeseyandi bayatiki annee padey ri moththam annee
697,"00:30:22,369","00:30:23,919",బయటకి పడేయ్ రి పడేయ్ రి రేయ్,bayataki padey ri padey ri rey
698,"00:30:24,109","00:30:24,390",అగో,ago
699,"00:30:25,069","00:30:26,419",చెపట్రా నా luggage బయట పడేసింది,chepatraa naa luggage bayata padesindhi
700,"00:30:26,950","00:30:28,199",నువ్వు లెక్క వేయొద్దు అన్ని లోపలికి,nuvvu lekka veyodhdhu anni lopaliki
701,"00:30:28,359","00:30:28,459",పడతా ఏంలే ఏంలే,padathaa yemle yemle
702,"00:30:30,821","00:30:32,631",rent కట్టాల్నా నీకు నాకు కాదే చిక్,rent kattaalnaa neeku naaku kaadhe chik
703,"00:30:32,821","00:30:34,961",నాకు గాలి కనిపిస్తే ఇట్లా owner కి rent కట్టొద్దు ఇవన్నీ గాలి,naaku gaali kanipisthe itlaa owner ki rent kattodhdhu ivannee gaali
704,"00:30:35,221","00:30:38,391",కనిపిస్తే అది rent ఇవ్వకుండా ఇంట్లో మాత్రం ఉండొచ్చు ఆంటీ ఏమైందంటే,kanipisthe adhi rent ivvakundaa intlo maathram undochhu aantee yemaindhante
705,"00:30:39,471","00:30:39,922",ఏమైందంటే ఏం,yemaindhante yem
706,"00:30:39,981","00:30:40,631",చెప్పాలి madam,cheppaali madam
707,"00:30:40,842","00:30:43,372",వీడు rent ఎట్ల ఇస్తాడో తెలుసా January లో ఏమో tenth కి ఇస్తాడు,veedu rent yetla isthaado thelusaa January lo yemo tenth ki isthaadu
708,"00:30:43,422","00:30:45,882",yes February లో ఏమో twenty కి ఇస్తాడు yes April కి ఏమో first కి,yes February lo yemo twenty ki isthaadu yes April ki yemo first ki
709,"00:30:45,932","00:30:46,281",ఇస్తాడు,isthaadu
710,"00:30:47,422","00:30:48,771",March miss అయిందనే విషయం తెలవడానికి,March miss ayindhane vishayam thelavadaaniki
711,"00:30:49,142","00:30:50,201",మే పడుతుంది madam నాకు,me paduthundhi madam naaku
712,"00:30:51,852","00:30:53,642",రేయ్! రేయ్!,rey! rey!
713,"00:30:53,721","00:30:55,311",నా Jackie Chan ని ఎవడ్రా బయట పడేసింది,naa Jackie Chan ni yevadraa bayata padesindhi
714,"00:30:55,721","00:30:56,531",ఆ నేనే పడేసినారా,aa nene padesinaaraa
715,"00:30:56,922","00:30:58,891",అయితే ఏం చేస్తావ్ ఇప్పుడు నీకే room దిక్కలేదంటే,ayithe yem chesthaav ippudu neeke room dhikkaledhante
716,"00:30:59,142","00:31:00,131",Jackie Chan photo పెడతాంటావ్,Jackie Chan photo pedathaantaav
717,"00:31:00,501","00:31:03,301",నువ్వేం చేస్తావ్ రా ఇప్పుడు నేను నేను road పైన మండుకుంటా కానీ,nuvvem chesthaav raa ippudu nenu nenu road paina mandukuntaa kaanee
718,"00:31:03,402","00:31:04,971",Jackie Chan మాత్రం ఇంట్లోనే ఉండాలి,Jackie Chan maathram intlone undaali
719,"00:31:05,422","00:31:07,131",ఆ ఆయన్ని లోపలికి పంపిస్తే నువ్వోతావా బయటికి ఆ పోతారు,aa aayanni lopaliki pampisthe nuvvothaavaa bayatiki aa pothaaru
720,"00:31:07,321","00:31:09,942",మీ Jackie Chan ని పంపేయ్ లోపలికి తోవ్వరా నీ Jackie Chan లోపలికి,mee Jackie Chan ni pampey lopaliki thovvaraa nee Jackie Chan lopaliki
721,"00:31:09,991","00:31:12,261",పో నువ్వు నడువు బయటికి నడువు నేను నడువు బయటికి నడువు నేనేం ఉండను,po nuvvu naduvu bayatiki naduvu nenu naduvu bayatiki naduvu nenem undanu
722,"00:31:12,311","00:31:12,632",నీ room ల,nee room la
723,"00:31:13,082","00:31:14,911",thank you Jackie Chan లోపల ఉన్నాడు,thank you Jackie Chan lopala unnaadu
724,"00:31:15,461","00:31:16,971",నాకు అదే job నడువు బయటికి నడువు,naaku adhe job naduvu bayatiki naduvu
725,"00:31:17,241","00:31:20,351",కానీ Jackie Chan ఎడుంటే నేను అక్కడే ఉంటా ఆగు ఆగు ఆగు కథలా,kaanee Jackie Chan yedunte nenu akkade untaa aagu aagu aagu kathalaa
726,"00:31:20,741","00:31:22,721",ఏంది ఇప్పుడు రాత్రి నువ్వు బయటికి వస్తాను అని ఆయన్ని లోపలికి పంపిస్తే,yendhi ippudu raathri nuvvu bayatiki vasthaanu ani aayanni lopaliki pampisthe
727,"00:31:23,001","00:31:23,771",rent ఎవరు కడతాడు,rent yevaru kadathaadu
728,"00:31:24,261","00:31:26,151",ఆ ఒక్క నిమిషం ఆంటీ ఒక్క నిమిషం,aa okka nimisham aantee okka nimisham
729,"00:31:26,942","00:31:27,862",మొత్తం ఎంత కట్టాలి,moththam yentha kattaali
730,"00:31:28,981","00:31:30,151",వీడు ఎంత కట్టాలో తెలవాలంటే,veedu yentha kattaalo thelavaalante
731,"00:31:30,622","00:31:31,591",ఎన్ని months ఎగ్గొట్టిండో,yenni months yeggottindo
732,"00:31:31,741","00:31:32,091",చెప్పాలిప్పుడు,cheppaalippudu
733,"00:31:32,211","00:31:33,351",నేను నా number తీసుకోండి,nenu naa number theesukondi
734,"00:31:33,882","00:31:34,231",ఆ,aa
735,"00:31:34,882","00:31:36,791",ఇదో పెద్ద palace మరీ నువ్వు కోవయ్యా,idho pedhdha palace maree nuvvu kovayyaa
736,"00:31:37,001","00:31:37,571",rent ఇయ్యవుగానీ,rent iyyavugaanee
737,"00:31:38,221","00:31:38,571",ఇయ్యు,iyyu
738,"00:31:42,442","00:31:43,651",కోమల ఎప్పుడైనా rent కట్టకపోతే,komala yeppudainaa rent kattakapothe
739,"00:31:44,082","00:31:46,751",నాకు call చేయండి అయితే ప్రతి నెల మీకే phone చేస్తా madam ఇప్పుడు,naaku call cheyandi ayithe prathi nela meeke phone chesthaa madam ippudu
740,"00:31:46,801","00:31:48,611",ఆపే దమ్ముందా నీకు చూస్తా ఎవరప్ప,aape dhammundhaa neeku choosthaa yevarappa
741,"00:31:53,862","00:31:54,211",ఏయ్,yey
742,"00:31:57,321","00:31:58,481",చిత్ర గారు one minute,chithra gaaru one minute
743,"00:32:21,272","00:32:21,682",thank you,thank you
744,"00:32:21,741","00:32:22,261",చిత్ర గారు,chithra gaaru
745,"00:32:26,261","00:32:26,761",thank you,thank you
746,"00:32:37,541","00:32:38,001",చిత్ర గారు,chithra gaaru
747,"00:32:40,240","00:32:42,251",మీరు కోటి రూపాయలలో budget ఇయ్యమన్నారు కదా,meeru koti roopaayalalo budget iyyamannaaru kadhaa
748,"00:32:42,451","00:32:42,662",ఆ,aa
749,"00:32:43,761","00:32:44,791",చిన్న problem వచ్చింది,chinna problem vachhindhi
750,"00:32:46,102","00:32:47,281",నాకు తెలుసు రా నాకు తెలుసు,naaku thelusu raa naaku thelusu
751,"00:32:47,821","00:32:48,951",నువ్వు మళ్ళీ start చేస్తావని,nuvvu mallee start chesthaavani
752,"00:32:49,541","00:32:50,842",చెప్పు problem ఏంటో చెప్పు,cheppu problem yento cheppu
753,"00:32:51,721","00:32:54,112",ఎంత try చేసినా కూడా budget ninety eight lakhs ఏ వస్తుంది madam,yentha try chesinaa koodaa budget ninety eight lakhs ye vasthundhi madam
754,"00:32:55,892","00:32:56,382",సరే నువ్వు,sare nuvvu
755,"00:32:56,432","00:32:59,051",కోటి రూపాయలనే తీయాలిరా కోమల అంటే వీడి జీతం పెంచి,koti roopaayalane theeyaaliraa komala ante veedi jeetham penchi
756,"00:32:59,961","00:33:01,331",round figure చేస్తా కోటి రూపాయలు,round figure chesthaa koti roopaayalu
757,"00:33:02,922","00:33:05,471",మా daddy కి ఇలా ఎన్ని చెప్పుంటావు కదరా నువ్వు ఉ,maa daddy ki ilaa yenni cheppuntaavu kadharaa nuvvu u
758,"00:33:05,662","00:33:07,021",సరే past is past అండి,sare past is past andi
759,"00:33:07,481","00:33:07,991",మనం ఇప్పుడు,manam ippudu
760,"00:33:08,281","00:33:08,631",present,present
761,"00:33:08,781","00:33:09,851",and future గురించి ఆలోచిద్దాం,and future gurinchi aalochidhdhaam
762,"00:33:10,602","00:33:10,821",చెప్పు,cheppu
763,"00:33:11,342","00:33:12,602",heroine కి costumes కావాలి,heroine ki costumes kaavaali
764,"00:33:13,182","00:33:13,481",కోను,konu
765,"00:33:14,102","00:33:16,371",అంటే heroine బాగా rich అనమాట సినిమాలో మీ లెక్క,ante heroine baagaa rich anamaata sinimaalo mee lekka
766,"00:33:16,902","00:33:17,391",so మీవైతే,so meevaithe
767,"00:33:17,541","00:33:20,051",కొంచెం rich costumes foreign costumes ఉంటాయి కదా,konchem rich costumes foreign costumes untaayi kadhaa
768,"00:33:20,261","00:33:21,051",పో తీసుకుపో,po theesukupo
769,"00:33:21,662","00:33:22,511",మీరు వేసుకుని చూపిస్తే,meeru vesukuni choopisthe
770,"00:33:23,392","00:33:23,991",ఏ heroine,ye heroine
771,"00:33:24,041","00:33:24,922",బట్టలు నేను వేసుకోవడం ఏంటి,battalu nenu vesukovadam yenti
772,"00:33:25,842","00:33:27,531",అంటే heroine కి last payment పోలేదనుకుంటా,ante heroine ki last payment poledhanukuntaa
773,"00:33:27,902","00:33:28,951",మీ daddy phone off చేసేశాడంట,mee daddy phone off cheseshaadanta
774,"00:33:29,342","00:33:30,051",రేయ్ చాలు చాలు,rey chaalu chaalu
775,"00:33:32,961","00:33:33,311",నాకిచ్చిందేంది,naakichhindhendhi
776,"00:33:34,122","00:33:35,422",తనకు తెలుసురా నేను book lover అని,thanaku thelusuraa nenu book lover ani
777,"00:33:36,142","00:33:36,731",అందుకే ఇచ్చింది,andhuke ichhindhi
778,"00:33:37,342","00:33:38,151",ఇదేంటన్నా う,idhentannaa う
779,"00:33:38,541","00:33:39,561",fifty shades of grey,fifty shades of grey
780,"00:33:40,301","00:33:40,692",చదివినావా,chadhivinaavaa
781,"00:33:41,182","00:33:41,851",లేదన్నా చూశాను,ledhannaa chooshaanu
782,"00:33:42,142","00:33:42,601",う మీరు,う meeru
783,"00:34:23,262","00:34:23,951",ఏం వేసుకున్నా,yem vesukunnaa
784,"00:34:24,521","00:34:24,871",బాగుంటారండి,baaguntaarandi
785,"00:35:00,161","00:35:01,581",హాయ్ anna good morning హాయ్ రా,haay anna good morning haay raa
786,"00:35:02,782","00:35:04,101",కూర్చోండి director తో free గా ఉండాలి,koorchondi director tho free gaa undaali
787,"00:35:05,342","00:35:05,461",రా,raa
788,"00:35:06,872","00:35:07,672",వీడబ్బా సరే,veedabbaa sare
789,"00:35:07,722","00:35:09,561",అమ్మ ఉంటాను చాలా సేపు మాట్లాడాడండి వీడు,amma untaanu chaalaa sepu maatlaadaadandi veedu
790,"00:35:10,242","00:35:12,771",రోజు ఎంతసేపు మాట్లాడతావ్ రా మీ అమ్మతో ఒక గంట anna,roju yenthasepu maatlaadathaav raa mee ammatho oka ganta anna
791,"00:35:14,021","00:35:15,992",గంట సేపు ఏమేం మాట్లాడుతావ్ మీ అమ్మతో చెప్పు ఈరోజు,ganta sepu yemem maatlaaduthaav mee ammatho cheppu eeroju
792,"00:35:16,641","00:35:18,271",అంటే ఇంట్లో గడియారం చెడిపోయింది anna,ante intlo gadiyaaram chedipoyindhi anna
793,"00:35:18,541","00:35:21,231",A2 battery నా A3 battery నా అడుగుతున్నా anna వీళ్ళాంటోడి వల్లనే,A2 battery naa A3 battery naa aduguthunnaa anna veellaantodi vallane
794,"00:35:21,282","00:35:21,632",anna,anna
795,"00:35:21,862","00:35:24,731",మన అమ్మతో రెండు నిమిషాలు మాట్లాడినా ప్రేమ లేదంటారు ఉమ్ ప్రేమ అంటే,mana ammatho rendu nimishaalu maatlaadinaa prema ledhantaaru um prema ante
796,"00:35:24,782","00:35:25,132",గుర్తొచ్చింది,gurthochhindhi
797,"00:35:26,161","00:35:27,192",love చేశారా రా మీరెవరినన్నా,love cheshaaraa raa meerevarinannaa
798,"00:35:27,902","00:35:29,211",అంటే మన costume designer,ante mana costume designer
799,"00:35:29,362","00:35:30,222",కావ్యని love చేస్తున్నా anna,kaavyani love chesthunnaa anna
800,"00:35:30,762","00:35:31,512",ఏదో అలా అయిపోయింది,yedho alaa ayipoyindhi
801,"00:35:32,141","00:35:32,402",నువ్వు రా,nuvvu raa
802,"00:35:33,021","00:35:33,822",అమ్మని love చేస్తున్నా anna,ammani love chesthunnaa anna
803,"00:35:34,342","00:35:36,342",కావ్య వాళ్ళ అమ్మనా ఉ లేదన్నా మా అమ్మనే,kaavya vaalla ammanaa u ledhannaa maa ammane
804,"00:35:38,302","00:35:40,782",anna shooting location చూడడానికి పోవాలన్నా shooting location ఆ,anna shooting location choodadaaniki povaalannaa shooting location aa
805,"00:35:40,882","00:35:41,061",ఉ,u
806,"00:35:43,282","00:35:45,342",నేను వస్తే నన్ను చూసి rate లు ఎక్కువ చెప్తారు రా,nenu vasthe nannu choosi rate lu yekkuva chepthaaru raa
807,"00:35:45,961","00:35:46,891",మీరు పొండి cheap లో అయిపోతాది,meeru pondi cheap lo ayipothaadhi
808,"00:35:47,641","00:35:48,311",cheap అన్నాడంటే,cheap annaadante
809,"00:35:49,981","00:35:51,902",పొండి మంచి location లు పట్టురు బానే ఉన్నామే మనం,pondi manchi location lu patturu baane unnaame manam
810,"00:35:55,362","00:35:56,061",అరె చిత్ర గారు,are chithra gaaru
811,"00:35:56,581","00:35:57,231",hello చిత్ర గారు,hello chithra gaaru
812,"00:35:57,762","00:35:58,262",హాయ్ కోమల,haay komala
813,"00:35:58,742","00:36:00,882",night room rent కట్టినందుకు చాలా thanks అండి,night room rent kattinandhuku chaalaa thanks andi
814,"00:36:01,831","00:36:02,311",ఆ నువ్వు,aa nuvvu
815,"00:36:02,362","00:36:02,711",రావట్లేదా,raavatledhaa
816,"00:36:02,902","00:36:03,592",location చూడడానికి,location choodadaaniki
817,"00:36:04,242","00:36:07,181",అంటే location location manager చూస్తాడు కదండీ నేను director కదా,ante location location manager choosthaadu kadhandee nenu director kadhaa
818,"00:36:07,641","00:36:10,431",ఆ సరే అయితే మేము location చూసి మీకు photos పెడతాం,aa sare ayithe memu location choosi meeku photos pedathaam
819,"00:36:11,101","00:36:11,521",ఆ ఓకే ఆ,aa oke aa
820,"00:36:12,061","00:36:12,652",ఆ ఏంటి,aa yenti
821,"00:36:13,041","00:36:14,672",అంటే మీరు కూడా వెళ్తున్నారా location చూడడానికి,ante meeru koodaa velthunnaaraa location choodadaaniki
822,"00:36:15,041","00:36:15,851",అవును కోమల చిత్ర,avunu komala chithra
823,"00:36:16,402","00:36:17,092",గారు నేను వస్తున్నాను,gaaru nenu vasthunnaanu
824,"00:36:17,521","00:36:20,531",ఎందుకు అంటే మీరు కట్టిన rent మార్చదా ఏప్రిల్ దా అని మా owner కే,yendhuku ante meeru kattina rent maarchadhaa yepril dhaa ani maa owner ke
825,"00:36:20,581","00:36:21,192",కొంచెం ఇట్లా,konchem itlaa
826,"00:36:22,762","00:36:25,251",office లో మీకు tiffins పెట్టుతున్నారా లేదు madam budget ఎక్కువవుతుందని,office lo meeku tiffins pettuthunnaaraa ledhu madam budget yekkuvavuthundhani
827,"00:36:25,402","00:36:26,251",tea మాత్రమే పోస్తున్నారు,tea maathrame posthunnaaru
828,"00:36:27,681","00:36:28,722",tea కూడా cut చేయాలి అయితే,tea koodaa cut cheyaali ayithe
829,"00:36:29,202","00:36:29,461",ఆ,aa
830,"00:36:31,422","00:36:33,692",driver నీకో location పంపిస్తున్నాను అక్కడికి పోదాం hello excuse,driver neeko location pampisthunnaanu akkadiki podhaam hello excuse
831,"00:36:33,742","00:36:36,172",me where are we going సినిమా location లు కూడా free అండి అక్కడ,me where are we going sinimaa location lu koodaa free andi akkada
832,"00:36:36,222","00:36:36,572",పోదండిఅసలు,podhandiasalu
833,"00:36:38,434","00:36:40,643",మా ఊర్లో ఒక్కొక్కరు ఎట్లుంటారో తెలుసా అండి మీకు?,maa oorlo okkokkaru yetluntaaro thelusaa andi meeku?
834,"00:36:41,873","00:36:43,804","Decency కి pant, shirt వేసినట్టు ఉంటారు.","Decency ki pant, shirt vesinattu untaaru."
835,"00:36:47,753","00:36:48,224",ఒక్కడికి ఒక్క,okkadiki okka
836,"00:36:48,333","00:36:49,123",bad habit ఉండదు.,bad habit undadhu.
837,"00:36:53,773","00:36:55,023","అసలు పంట పొలాలు,","asalu panta polaalu,"
838,"00:36:55,333","00:36:56,284",ఆ పక్షుల కిలకిలలు.,aa pakshula kilakilalu.
839,"00:36:59,474","00:37:00,864","మా ఊర్లో ఒక్కొక్కని style,","maa oorlo okkokkani style,"
840,"00:37:01,414","00:37:02,043",వాళ్ళ swag.,vaalla swag.
841,"00:37:13,193","00:37:14,943",అరేయ్! నువ్వు సిగరెట్ తాగుతున్నావ్ అని మీ daddyకి తెలుసు కదరా?,arey! nuvvu sigaret thaaguthunnaav ani mee daddyki thelusu kadharaa?
842,"00:37:15,114","00:37:16,304",ఆ మీ daddy ఇప్పుడు అడగడా?,aa mee daddy ippudu adagadaa?
843,"00:37:16,594","00:37:18,063",అడుగుతాడు మామ. నేను ఇయ్యను కదా.,aduguthaadu maama. nenu iyyanu kadhaa.
844,"00:37:20,563","00:37:21,384",ఏయ్! మందు తాగాలి ఈరోజు,yey! mandhu thaagaali eeroju
845,"00:37:21,934","00:37:24,163",మందు తాగాలంటే chicken ఉండాలిరా మామ మందు కూడా ఉండాలిరా.,mandhu thaagaalante chicken undaaliraa maama mandhu koodaa undaaliraa.
846,"00:37:26,653","00:37:27,423","ఏయ్ మామ, మామ, మామ!","yey maama, maama, maama!"
847,"00:37:27,673","00:37:29,543","మన doctor గాడు ఉన్నాడు కదా, వాడికి link పెట్టినామ్మామా.","mana doctor gaadu unnaadu kadhaa, vaadiki link pettinaammaamaa."
848,"00:37:29,853","00:37:32,003",పెళ్లి చేసేసేయ్ రా వాడికి. అరేయ్! వానికి link పెట్టింది నేన్రా.,pelli chesesey raa vaadiki. arey! vaaniki link pettindhi nenraa.
849,"00:37:32,313","00:37:33,983",ఏయ్! ఆడికి nurseతో link పెట్టింది నేన్రా.,yey! aadiki nursetho link pettindhi nenraa.
850,"00:37:34,173","00:37:36,483",అరేయ్! patientతో link పెట్టింది నేన్రా. ఏం nurseరా patient?,arey! patienttho link pettindhi nenraa. yem nurseraa patient?
851,"00:37:36,893","00:37:38,543",అరేయ్! దిమాగ్ ఖరాబ్ చేయకు. అరేయ్ పిచ్చకూట్లేసినాయ్.,arey! dhimaag kharaab cheyaku. arey pichhakootlesinaay.
852,"00:37:39,034","00:37:39,422","ఒక నిమిషం ఆగురా, ఒక్క నిమిషం","oka nimisham aaguraa, okka nimisham"
853,"00:37:40,564","00:37:41,223",ఆగు. ఇదారా,aagu. idhaaraa
854,"00:37:41,273","00:37:41,784",మన friendship?,mana friendship?
855,"00:37:42,173","00:37:42,523",దీనికోసమా,dheenikosamaa
856,"00:37:42,673","00:37:43,123",రా గొడవ?,raa godava?
857,"00:37:44,594","00:37:45,523",link పెట్టింది నేను.,link pettindhi nenu.
858,"00:37:45,844","00:37:46,723",ఆ నేన్రా link పెట్టింది.,aa nenraa link pettindhi.
859,"00:37:47,554","00:37:47,903",ఆ,aa
860,"00:37:48,153","00:37:49,803",అరే కోమలి గాడు వాడు చూడు. కోమలి గాడు కాదా?,are komali gaadu vaadu choodu. komali gaadu kaadhaa?
861,"00:37:49,853","00:37:50,203",అవునురా.,avunuraa.
862,"00:37:50,474","00:37:51,824",అరేయ్! ఎవరో పిల్లతోటి వచ్చిండ్రా.,arey! yevaro pillathoti vachhindraa.
863,"00:37:52,514","00:37:52,873",So,So
864,"00:37:53,713","00:37:54,423",ఇదే అండి location.,idhe andi location.
865,"00:37:54,713","00:37:57,793",Free కాదు కానీ నేను manage చేస్తా. ఏం disturbance ఉండదు కదా?,Free kaadhu kaanee nenu manage chesthaa. yem disturbance undadhu kadhaa?
866,"00:37:57,853","00:38:00,063",అయ్యో! ఏం ఉండదండి. ఇక్కడ అంతా decent people.,ayyo! yem undadhandi. ikkada anthaa decent people.
867,"00:38:02,204","00:38:02,943",ఏయ్! వాళ్ళు,yey! vaallu
868,"00:38:02,994","00:38:03,344",చిల్లరగాలండి.,chillaragaalandi.
869,"00:38:03,733","00:38:05,243",ఊర్లో దరిద్రులు వాళ్ళే. వాళ్ళని పట్టించుకోకండి.,oorlo dharidhrulu vaalle. vaallani pattinchukokandi.
